,Weekly_Earnings
1/1/2007,768.34
2/1/2007,780.27
3/1/2007,768.95
4/1/2007,780.22
5/1/2007,746.05
6/1/2007,765.53
7/1/2007,788.76
8/1/2007,743.77
9/1/2007,798.62
10/1/2007,766.15
11/1/2007,774.3
12/1/2007,790.13
1/1/2008,753.57
2/1/2008,728.39
3/1/2008,762.24
4/1/2008,802.16
5/1/2008,785.42
6/1/2008,827.48
7/1/2008,802.96
8/1/2008,803.85
9/1/2008,787.15
10/1/2008,805.19
11/1/2008,833
12/1/2008,805.44
1/1/2009,785.58
2/1/2009,803.99
3/1/2009,803.31
4/1/2009,780.55
5/1/2009,784.79
6/1/2009,813.37
7/1/2009,800.49
8/1/2009,823.43
9/1/2009,804.04
10/1/2009,803.31
11/1/2009,829.28
12/1/2009,809.29
1/1/2010,802.03
2/1/2010,816.62
3/1/2010,798.68
4/1/2010,811.63
5/1/2010,815.72
6/1/2010,804.23
7/1/2010,809.45
8/1/2010,815.94
9/1/2010,793.94
10/1/2010,801.68
11/1/2010,799.05
12/1/2010,810.25
1/1/2011,830.89
2/1/2011,846.26
3/1/2011,845.29
4/1/2011,850.85
5/1/2011,856.73
6/1/2011,831.37
7/1/2011,838.3
8/1/2011,841.44
9/1/2011,858.9
10/1/2011,879.69
11/1/2011,855.75
12/1/2011,866.27
1/1/2012,874.59
2/1/2012,872.94
3/1/2012,870.5
4/1/2012,886.38
5/1/2012,865.9
6/1/2012,873.66
7/1/2012,883.23
8/1/2012,866.22
9/1/2012,896.02
10/1/2012,870.13
11/1/2012,875.09
12/1/2012,888.2
1/1/2013,847.03
2/1/2013,857.49
3/1/2013,867.32
4/1/2013,846.56
5/1/2013,833
6/1/2013,861.08
7/1/2013,840
8/1/2013,845.08
9/1/2013,853.23
10/1/2013,838.82
11/1/2013,847.2
12/1/2013,853.49
1/1/2014,843.9
2/1/2014,838.51
3/1/2014,886.43
4/1/2014,845.6
5/1/2014,847.35
6/1/2014,872.26
7/1/2014,843.55
8/1/2014,849.12
9/1/2014,841.46
10/1/2014,839.05
11/1/2014,883.47
12/1/2014,857.09
1/1/2015,853.97
2/1/2015,881.38
3/1/2015,884.45
4/1/2015,872.61
5/1/2015,886.81
6/1/2015,882
7/1/2015,883.67
8/1/2015,909.33
9/1/2015,874.79
10/1/2015,885.06
11/1/2015,904.75
12/1/2015,891.3
1/1/2016,911.15
2/1/2016,919.43
3/1/2016,923.37
4/1/2016,909.83
5/1/2016,933.34
6/1/2016,921.71
7/1/2016,920.11
8/1/2016,939.6
9/1/2016,953.67
10/1/2016,978.74
11/1/2016,977.18
12/1/2016,945.86
1/1/2017,956.34
2/1/2017,971.62
3/1/2017,986.23
4/1/2017,985.25
5/1/2017,977.5
6/1/2017,957.66
7/1/2017,987.34
8/1/2017,988.72
9/1/2017,978.24
10/1/2017,1000.4
11/1/2017,974.69
12/1/2017,986.9
1/1/2018,983.85
2/1/2018,1013.52
3/1/2018,1012.81
4/1/2018,1030.56
5/1/2018,1016.02
6/1/2018,996.03
7/1/2018,1026
8/1/2018,1029.61
9/1/2018,1038.16
10/1/2018,1028.84
11/1/2018,1012.05
12/1/2018,1029.6
1/1/2019,1021.69
2/1/2019,1025.66
3/1/2019,1031.4
4/1/2019,1039.58
5/1/2019,1039.16
6/1/2019,1047.71
7/1/2019,1038.45
8/1/2019,1072.9
9/1/2019,1070.33
10/1/2019,1050.19
11/1/2019,1069.34
12/1/2019,1079.47
1/1/2020,1056.77
2/1/2020,1074.04
3/1/2020,1094.59
4/1/2020,1089.94
5/1/2020,1100.94
6/1/2020,1078.18
7/1/2020,1098.24
8/1/2020,1148.08
9/1/2020,1119.36
10/1/2020,1122.53
11/1/2020,1152.75
12/1/2020,1149.88
1/1/2021,1133.52
2/1/2021,1146.84
3/1/2021,1139.35
