,Weekly_Hours
1/1/2010,34.1
2/1/2010,34.5
3/1/2010,34.5
4/1/2010,34.7
5/1/2010,35.1
6/1/2010,34.8
7/1/2010,34.8
8/1/2010,35.2
9/1/2010,34.7
10/1/2010,35.1
11/1/2010,35
12/1/2010,35
1/1/2011,33.9
2/1/2011,35.1
3/1/2011,34.8
4/1/2011,35
5/1/2011,35.3
6/1/2011,34.8
7/1/2011,34.9
8/1/2011,34.9
9/1/2011,35
10/1/2011,35.4
11/1/2011,34.9
12/1/2011,35.1
1/1/2012,34.9
2/1/2012,35.1
3/1/2012,35.2
4/1/2012,35.3
5/1/2012,35
6/1/2012,35.2
7/1/2012,35.4
8/1/2012,34.9
9/1/2012,35.5
10/1/2012,35.1
11/1/2012,35.4
12/1/2012,35.8
1/1/2013,34.7
2/1/2013,35.1
3/1/2013,35.3
4/1/2013,35.2
5/1/2013,35
6/1/2013,35.7
7/1/2013,35
8/1/2013,35.3
9/1/2013,35.7
10/1/2013,35.2
11/1/2013,35.3
12/1/2013,35.4
1/1/2014,34.8
2/1/2014,33.5
3/1/2014,35.7
4/1/2014,34.5
5/1/2014,34.6
6/1/2014,35.2
7/1/2014,34.8
8/1/2014,34.9
9/1/2014,34.8
10/1/2014,34.7
11/1/2014,35.1
12/1/2014,34.7
1/1/2015,34.2
2/1/2015,34.7
3/1/2015,35
4/1/2015,34.6
5/1/2015,34.9
6/1/2015,35
7/1/2015,34.9
8/1/2015,35.3
9/1/2015,34.7
10/1/2015,34.9
11/1/2015,35
12/1/2015,34.6
1/1/2016,34.1
2/1/2016,34.5
3/1/2016,34.7
4/1/2016,34.7
5/1/2016,34.8
6/1/2016,34.9
7/1/2016,34.8
8/1/2016,34.8
9/1/2016,35.1
10/1/2016,35.5
11/1/2016,35.1
12/1/2016,34.8
1/1/2017,34.5
2/1/2017,34.9
3/1/2017,34.8
4/1/2017,35
5/1/2017,34.7
6/1/2017,34.9
7/1/2017,35.3
8/1/2017,34.9
9/1/2017,35.1
10/1/2017,35.4
11/1/2017,35.2
12/1/2017,35.5
1/1/2018,35
2/1/2018,35.7
3/1/2018,35.7
4/1/2018,36.3
5/1/2018,35.7
6/1/2018,35.7
7/1/2018,36
8/1/2018,35.9
9/1/2018,35.7
10/1/2018,35.6
11/1/2018,35.3
12/1/2018,35.2
1/1/2019,35.5
2/1/2019,35.7
3/1/2019,35.8
4/1/2019,35.7
5/1/2019,35.6
6/1/2019,35.6
7/1/2019,35
8/1/2019,35.2
9/1/2019,35.5
10/1/2019,35.1
11/1/2019,34.9
12/1/2019,35.3
1/1/2020,34.9
2/1/2020,35.4
3/1/2020,35.9
4/1/2020,34.8
5/1/2020,35.4
6/1/2020,35.2
7/1/2020,35.2
8/1/2020,35.9
9/1/2020,35.3
10/1/2020,35.4
11/1/2020,35.9
12/1/2020,35.6
1/1/2021,35.5
2/1/2021,34.7
3/1/2021,34.8
