,Weekly_Hours
1/1/2010,35.2
2/1/2010,35.2
3/1/2010,35.3
4/1/2010,35.7
5/1/2010,36
6/1/2010,35.6
7/1/2010,35.2
8/1/2010,35.4
9/1/2010,35
10/1/2010,35
11/1/2010,35
12/1/2010,35.1
1/1/2011,35
2/1/2011,35.1
3/1/2011,35.4
4/1/2011,35.6
5/1/2011,36.1
6/1/2011,35.6
7/1/2011,35.3
8/1/2011,35.4
9/1/2011,35.4
10/1/2011,35.8
11/1/2011,35
12/1/2011,35.4
1/1/2012,35.9
2/1/2012,35.3
3/1/2012,35.5
4/1/2012,35.9
5/1/2012,35.3
6/1/2012,35.8
7/1/2012,35.9
8/1/2012,35.7
9/1/2012,36
10/1/2012,35.2
11/1/2012,35.4
12/1/2012,35.8
1/1/2013,34.9
2/1/2013,35.3
3/1/2013,35.4
4/1/2013,35.5
5/1/2013,35.4
6/1/2013,36.4
7/1/2013,35.3
8/1/2013,35.9
9/1/2013,36.2
10/1/2013,35.8
11/1/2013,36
12/1/2013,36
1/1/2014,35.4
2/1/2014,35.7
3/1/2014,35.9
4/1/2014,35.6
5/1/2014,35.8
6/1/2014,36.1
7/1/2014,35.3
8/1/2014,35.4
9/1/2014,35.2
10/1/2014,34.8
11/1/2014,35.5
12/1/2014,34.9
1/1/2015,34.4
2/1/2015,34.5
3/1/2015,35
4/1/2015,34.7
5/1/2015,34.8
6/1/2015,35
7/1/2015,34.6
8/1/2015,35.3
9/1/2015,34.6
10/1/2015,34.7
11/1/2015,35.1
12/1/2015,34.9
1/1/2016,34.5
2/1/2016,34.6
3/1/2016,34.9
4/1/2016,35
5/1/2016,35.2
6/1/2016,35.3
7/1/2016,35.4
8/1/2016,35.4
9/1/2016,35.5
10/1/2016,35.7
11/1/2016,35.9
12/1/2016,35.8
1/1/2017,35.7
2/1/2017,35.3
3/1/2017,35.2
4/1/2017,35.1
5/1/2017,35.6
6/1/2017,35.7
7/1/2017,35.9
8/1/2017,35.2
9/1/2017,35.3
10/1/2017,35.3
11/1/2017,35.4
12/1/2017,35.6
1/1/2018,33.7
2/1/2018,35.1
3/1/2018,35.3
4/1/2018,36
5/1/2018,35.6
6/1/2018,36.1
7/1/2018,36.3
8/1/2018,35.8
9/1/2018,36.6
10/1/2018,35.6
11/1/2018,35.5
12/1/2018,35.7
1/1/2019,34.3
2/1/2019,35.2
3/1/2019,35.3
4/1/2019,35.2
5/1/2019,35.2
6/1/2019,36
7/1/2019,35.5
8/1/2019,35.5
9/1/2019,36
10/1/2019,35.2
11/1/2019,35.5
12/1/2019,36.1
1/1/2020,35.1
2/1/2020,35.6
3/1/2020,35.3
4/1/2020,34.7
5/1/2020,34.9
6/1/2020,35.1
7/1/2020,35.1
8/1/2020,35.7
9/1/2020,34.8
10/1/2020,35.4
11/1/2020,36.2
12/1/2020,35.6
1/1/2021,35.4
2/1/2021,35
3/1/2021,36.2
