Series ID,Year,Month,Period,Label,Value
LAUMT131206000000006,2010,1/1/2010,M01,2010 Jan,2763339
LAUMT131206000000006,2010,2/1/2010,M02,2010 Feb,2728304
LAUMT131206000000006,2010,3/1/2010,M03,2010 Mar,2720920
LAUMT131206000000006,2010,4/1/2010,M04,2010 Apr,2716360
LAUMT131206000000006,2010,5/1/2010,M05,2010 May,2711392
LAUMT131206000000006,2010,6/1/2010,M06,2010 Jun,2715291
LAUMT131206000000006,2010,7/1/2010,M07,2010 Jul,2730824
LAUMT131206000000006,2010,8/1/2010,M08,2010 Aug,2720378
LAUMT131206000000006,2010,9/1/2010,M09,2010 Sep,2726508
LAUMT131206000000006,2010,10/1/2010,M10,2010 Oct,2720086
LAUMT131206000000006,2010,11/1/2010,M11,2010 Nov,2735015
LAUMT131206000000006,2010,12/1/2010,M12,2010 Dec,2741055
LAUMT131206000000006,2011,1/1/2011,M01,2011 Jan,2731489
LAUMT131206000000006,2011,2/1/2011,M02,2011 Feb,2733532
LAUMT131206000000006,2011,3/1/2011,M03,2011 Mar,2745171
LAUMT131206000000006,2011,4/1/2011,M04,2011 Apr,2726605
LAUMT131206000000006,2011,5/1/2011,M05,2011 May,2747685
LAUMT131206000000006,2011,6/1/2011,M06,2011 Jun,2750373
LAUMT131206000000006,2011,7/1/2011,M07,2011 Jul,2766863
LAUMT131206000000006,2011,8/1/2011,M08,2011 Aug,2752645
LAUMT131206000000006,2011,9/1/2011,M09,2011 Sep,2768019
LAUMT131206000000006,2011,10/1/2011,M10,2011 Oct,2771723
LAUMT131206000000006,2011,11/1/2011,M11,2011 Nov,2776397
LAUMT131206000000006,2011,12/1/2011,M12,2011 Dec,2785690
LAUMT131206000000006,2012,1/1/2012,M01,2012 Jan,2767544
LAUMT131206000000006,2012,2/1/2012,M02,2012 Feb,2772632
LAUMT131206000000006,2012,3/1/2012,M03,2012 Mar,2776283
LAUMT131206000000006,2012,4/1/2012,M04,2012 Apr,2756567
LAUMT131206000000006,2012,5/1/2012,M05,2012 May,2774773
LAUMT131206000000006,2012,6/1/2012,M06,2012 Jun,2787158
LAUMT131206000000006,2012,7/1/2012,M07,2012 Jul,2801695
LAUMT131206000000006,2012,8/1/2012,M08,2012 Aug,2772152
LAUMT131206000000006,2012,9/1/2012,M09,2012 Sep,2786893
LAUMT131206000000006,2012,10/1/2012,M10,2012 Oct,2794647
LAUMT131206000000006,2012,11/1/2012,M11,2012 Nov,2789189
LAUMT131206000000006,2012,12/1/2012,M12,2012 Dec,2796918
LAUMT131206000000006,2013,1/1/2013,M01,2013 Jan,2792238
LAUMT131206000000006,2013,2/1/2013,M02,2013 Feb,2780140
LAUMT131206000000006,2013,3/1/2013,M03,2013 Mar,2778403
LAUMT131206000000006,2013,4/1/2013,M04,2013 Apr,2775111
LAUMT131206000000006,2013,5/1/2013,M05,2013 May,2789547
LAUMT131206000000006,2013,6/1/2013,M06,2013 Jun,2799561
LAUMT131206000000006,2013,7/1/2013,M07,2013 Jul,2804682
LAUMT131206000000006,2013,8/1/2013,M08,2013 Aug,2776014
LAUMT131206000000006,2013,9/1/2013,M09,2013 Sep,2789094
LAUMT131206000000006,2013,10/1/2013,M10,2013 Oct,2778649
LAUMT131206000000006,2013,11/1/2013,M11,2013 Nov,2785867
LAUMT131206000000006,2013,12/1/2013,M12,2013 Dec,2786439
LAUMT131206000000006,2014,1/1/2014,M01,2014 Jan,2786670
LAUMT131206000000006,2014,2/1/2014,M02,2014 Feb,2795527
LAUMT131206000000006,2014,3/1/2014,M03,2014 Mar,2811719
LAUMT131206000000006,2014,4/1/2014,M04,2014 Apr,2788486
LAUMT131206000000006,2014,5/1/2014,M05,2014 May,2805998
LAUMT131206000000006,2014,6/1/2014,M06,2014 Jun,2816981
LAUMT131206000000006,2014,7/1/2014,M07,2014 Jul,2829729
LAUMT131206000000006,2014,8/1/2014,M08,2014 Aug,2797036
LAUMT131206000000006,2014,9/1/2014,M09,2014 Sep,2797875
LAUMT131206000000006,2014,10/1/2014,M10,2014 Oct,2808288
LAUMT131206000000006,2014,11/1/2014,M11,2014 Nov,2809775
LAUMT131206000000006,2014,12/1/2014,M12,2014 Dec,2804145
LAUMT131206000000006,2015,1/1/2015,M01,2015 Jan,2810430
LAUMT131206000000006,2015,2/1/2015,M02,2015 Feb,2812849
LAUMT131206000000006,2015,3/1/2015,M03,2015 Mar,2812165
LAUMT131206000000006,2015,4/1/2015,M04,2015 Apr,2806560
LAUMT131206000000006,2015,5/1/2015,M05,2015 May,2826101
LAUMT131206000000006,2015,6/1/2015,M06,2015 Jun,2822721
LAUMT131206000000006,2015,7/1/2015,M07,2015 Jul,2833566
LAUMT131206000000006,2015,8/1/2015,M08,2015 Aug,2804120
LAUMT131206000000006,2015,9/1/2015,M09,2015 Sep,2800274
LAUMT131206000000006,2015,10/1/2015,M10,2015 Oct,2811967
LAUMT131206000000006,2015,11/1/2015,M11,2015 Nov,2811602
LAUMT131206000000006,2015,12/1/2015,M12,2015 Dec,2818795
LAUMT131206000000006,2016,1/1/2016,M01,2016 Jan,2827106
LAUMT131206000000006,2016,2/1/2016,M02,2016 Feb,2847017
LAUMT131206000000006,2016,3/1/2016,M03,2016 Mar,2873204
LAUMT131206000000006,2016,4/1/2016,M04,2016 Apr,2877454
LAUMT131206000000006,2016,5/1/2016,M05,2016 May,2905388
LAUMT131206000000006,2016,6/1/2016,M06,2016 Jun,2940393
LAUMT131206000000006,2016,7/1/2016,M07,2016 Jul,2979740
LAUMT131206000000006,2016,8/1/2016,M08,2016 Aug,2973118
LAUMT131206000000006,2016,9/1/2016,M09,2016 Sep,2996407
LAUMT131206000000006,2016,10/1/2016,M10,2016 Oct,3030343
LAUMT131206000000006,2016,11/1/2016,M11,2016 Nov,3022079
LAUMT131206000000006,2016,12/1/2016,M12,2016 Dec,3028727
LAUMT131206000000006,2017,1/1/2017,M01,2017 Jan,3026446
LAUMT131206000000006,2017,2/1/2017,M02,2017 Feb,3045903
LAUMT131206000000006,2017,3/1/2017,M03,2017 Mar,3055423
LAUMT131206000000006,2017,4/1/2017,M04,2017 Apr,3048821
LAUMT131206000000006,2017,5/1/2017,M05,2017 May,3055113
LAUMT131206000000006,2017,6/1/2017,M06,2017 Jun,3064502
LAUMT131206000000006,2017,7/1/2017,M07,2017 Jul,3083469
LAUMT131206000000006,2017,8/1/2017,M08,2017 Aug,3064417
