Series ID,Year,Month,Period,Label,Value
LAUMT131206000000004,2010,1/1/2010,M01,2010 Jan,300930
LAUMT131206000000004,2010,2/1/2010,M02,2010 Feb,293432
LAUMT131206000000004,2010,3/1/2010,M03,2010 Mar,283792
LAUMT131206000000004,2010,4/1/2010,M04,2010 Apr,271498
LAUMT131206000000004,2010,5/1/2010,M05,2010 May,272999
LAUMT131206000000004,2010,6/1/2010,M06,2010 Jun,285761
LAUMT131206000000004,2010,7/1/2010,M07,2010 Jul,288419
LAUMT131206000000004,2010,8/1/2010,M08,2010 Aug,289353
LAUMT131206000000004,2010,9/1/2010,M09,2010 Sep,282219
LAUMT131206000000004,2010,10/1/2010,M10,2010 Oct,279389
LAUMT131206000000004,2010,11/1/2010,M11,2010 Nov,284928
LAUMT131206000000004,2010,12/1/2010,M12,2010 Dec,280062
LAUMT131206000000004,2011,1/1/2011,M01,2011 Jan,284183
LAUMT131206000000004,2011,2/1/2011,M02,2011 Feb,276484
LAUMT131206000000004,2011,3/1/2011,M03,2011 Mar,268893
LAUMT131206000000004,2011,4/1/2011,M04,2011 Apr,260046
LAUMT131206000000004,2011,5/1/2011,M05,2011 May,267368
LAUMT131206000000004,2011,6/1/2011,M06,2011 Jun,285960
LAUMT131206000000004,2011,7/1/2011,M07,2011 Jul,283279
LAUMT131206000000004,2011,8/1/2011,M08,2011 Aug,278969
LAUMT131206000000004,2011,9/1/2011,M09,2011 Sep,271297
LAUMT131206000000004,2011,10/1/2011,M10,2011 Oct,265165
LAUMT131206000000004,2011,11/1/2011,M11,2011 Nov,250125
LAUMT131206000000004,2011,12/1/2011,M12,2011 Dec,252989
LAUMT131206000000004,2012,1/1/2012,M01,2012 Jan,256448
LAUMT131206000000004,2012,2/1/2012,M02,2012 Feb,254329
LAUMT131206000000004,2012,3/1/2012,M03,2012 Mar,246364
LAUMT131206000000004,2012,4/1/2012,M04,2012 Apr,232421
LAUMT131206000000004,2012,5/1/2012,M05,2012 May,239799
LAUMT131206000000004,2012,6/1/2012,M06,2012 Jun,255120
LAUMT131206000000004,2012,7/1/2012,M07,2012 Jul,256174
LAUMT131206000000004,2012,8/1/2012,M08,2012 Aug,244788
LAUMT131206000000004,2012,9/1/2012,M09,2012 Sep,228690
LAUMT131206000000004,2012,10/1/2012,M10,2012 Oct,230675
LAUMT131206000000004,2012,11/1/2012,M11,2012 Nov,219354
LAUMT131206000000004,2012,12/1/2012,M12,2012 Dec,227782
LAUMT131206000000004,2013,1/1/2013,M01,2013 Jan,239879
LAUMT131206000000004,2013,2/1/2013,M02,2013 Feb,228340
LAUMT131206000000004,2013,3/1/2013,M03,2013 Mar,217740
LAUMT131206000000004,2013,4/1/2013,M04,2013 Apr,207525
LAUMT131206000000004,2013,5/1/2013,M05,2013 May,216980
LAUMT131206000000004,2013,6/1/2013,M06,2013 Jun,234120
LAUMT131206000000004,2013,7/1/2013,M07,2013 Jul,227775
LAUMT131206000000004,2013,8/1/2013,M08,2013 Aug,216210
LAUMT131206000000004,2013,9/1/2013,M09,2013 Sep,206378
LAUMT131206000000004,2013,10/1/2013,M10,2013 Oct,208233
LAUMT131206000000004,2013,11/1/2013,M11,2013 Nov,192729
LAUMT131206000000004,2013,12/1/2013,M12,2013 Dec,190584
LAUMT131206000000004,2014,1/1/2014,M01,2014 Jan,198714
LAUMT131206000000004,2014,2/1/2014,M02,2014 Feb,199853
LAUMT131206000000004,2014,3/1/2014,M03,2014 Mar,198056
LAUMT131206000000004,2014,4/1/2014,M04,2014 Apr,179766
LAUMT131206000000004,2014,5/1/2014,M05,2014 May,193274
LAUMT131206000000004,2014,6/1/2014,M06,2014 Jun,202656
LAUMT131206000000004,2014,7/1/2014,M07,2014 Jul,208711
LAUMT131206000000004,2014,8/1/2014,M08,2014 Aug,200133
LAUMT131206000000004,2014,9/1/2014,M09,2014 Sep,183362
LAUMT131206000000004,2014,10/1/2014,M10,2014 Oct,179388
LAUMT131206000000004,2014,11/1/2014,M11,2014 Nov,171400
LAUMT131206000000004,2014,12/1/2014,M12,2014 Dec,167319
LAUMT131206000000004,2015,1/1/2015,M01,2015 Jan,178418
LAUMT131206000000004,2015,2/1/2015,M02,2015 Feb,172434
LAUMT131206000000004,2015,3/1/2015,M03,2015 Mar,165067
LAUMT131206000000004,2015,4/1/2015,M04,2015 Apr,156588
LAUMT131206000000004,2015,5/1/2015,M05,2015 May,167895
LAUMT131206000000004,2015,6/1/2015,M06,2015 Jun,174072
LAUMT131206000000004,2015,7/1/2015,M07,2015 Jul,173496
LAUMT131206000000004,2015,8/1/2015,M08,2015 Aug,163571
LAUMT131206000000004,2015,9/1/2015,M09,2015 Sep,154044
LAUMT131206000000004,2015,10/1/2015,M10,2015 Oct,155421
LAUMT131206000000004,2015,11/1/2015,M11,2015 Nov,148807
LAUMT131206000000004,2015,12/1/2015,M12,2015 Dec,149690
LAUMT131206000000004,2016,1/1/2016,M01,2016 Jan,155396
LAUMT131206000000004,2016,2/1/2016,M02,2016 Feb,153703
LAUMT131206000000004,2016,3/1/2016,M03,2016 Mar,152303
LAUMT131206000000004,2016,4/1/2016,M04,2016 Apr,144032
LAUMT131206000000004,2016,5/1/2016,M05,2016 May,144075
LAUMT131206000000004,2016,6/1/2016,M06,2016 Jun,161379
LAUMT131206000000004,2016,7/1/2016,M07,2016 Jul,160839
LAUMT131206000000004,2016,8/1/2016,M08,2016 Aug,158416
LAUMT131206000000004,2016,9/1/2016,M09,2016 Sep,155353
LAUMT131206000000004,2016,10/1/2016,M10,2016 Oct,153991
LAUMT131206000000004,2016,11/1/2016,M11,2016 Nov,145106
LAUMT131206000000004,2016,12/1/2016,M12,2016 Dec,149284
LAUMT131206000000004,2017,1/1/2017,M01,2017 Jan,158212
