Series ID,Year,Month,Period,Label,Value
LAUMT371674000000006,2010,1/1/2010,M01,2010 Jan,1132725
LAUMT371674000000006,2010,2/1/2010,M02,2010 Feb,1137650
LAUMT371674000000006,2010,3/1/2010,M03,2010 Mar,1149943
LAUMT371674000000006,2010,4/1/2010,M04,2010 Apr,1153615
LAUMT371674000000006,2010,5/1/2010,M05,2010 May,1156752
LAUMT371674000000006,2010,6/1/2010,M06,2010 Jun,1149217
LAUMT371674000000006,2010,7/1/2010,M07,2010 Jul,1145001
LAUMT371674000000006,2010,8/1/2010,M08,2010 Aug,1143870
LAUMT371674000000006,2010,9/1/2010,M09,2010 Sep,1138611
LAUMT371674000000006,2010,10/1/2010,M10,2010 Oct,1148983
LAUMT371674000000006,2010,11/1/2010,M11,2010 Nov,1150679
LAUMT371674000000006,2010,12/1/2010,M12,2010 Dec,1147545
LAUMT371674000000006,2011,1/1/2011,M01,2011 Jan,1149442
LAUMT371674000000006,2011,2/1/2011,M02,2011 Feb,1152511
LAUMT371674000000006,2011,3/1/2011,M03,2011 Mar,1160094
LAUMT371674000000006,2011,4/1/2011,M04,2011 Apr,1154449
LAUMT371674000000006,2011,5/1/2011,M05,2011 May,1159314
LAUMT371674000000006,2011,6/1/2011,M06,2011 Jun,1160264
LAUMT371674000000006,2011,7/1/2011,M07,2011 Jul,1161603
LAUMT371674000000006,2011,8/1/2011,M08,2011 Aug,1159992
LAUMT371674000000006,2011,9/1/2011,M09,2011 Sep,1160865
LAUMT371674000000006,2011,10/1/2011,M10,2011 Oct,1168637
LAUMT371674000000006,2011,11/1/2011,M11,2011 Nov,1167226
LAUMT371674000000006,2011,12/1/2011,M12,2011 Dec,1163572
LAUMT371674000000006,2012,1/1/2012,M01,2012 Jan,1166709
LAUMT371674000000006,2012,2/1/2012,M02,2012 Feb,1169830
LAUMT371674000000006,2012,3/1/2012,M03,2012 Mar,1178033
LAUMT371674000000006,2012,4/1/2012,M04,2012 Apr,1170228
LAUMT371674000000006,2012,5/1/2012,M05,2012 May,1183544
LAUMT371674000000006,2012,6/1/2012,M06,2012 Jun,1182596
LAUMT371674000000006,2012,7/1/2012,M07,2012 Jul,1187644
LAUMT371674000000006,2012,8/1/2012,M08,2012 Aug,1178966
LAUMT371674000000006,2012,9/1/2012,M09,2012 Sep,1185091
LAUMT371674000000006,2012,10/1/2012,M10,2012 Oct,1203992
LAUMT371674000000006,2012,11/1/2012,M11,2012 Nov,1193480
LAUMT371674000000006,2012,12/1/2012,M12,2012 Dec,1191508
LAUMT371674000000006,2013,1/1/2013,M01,2013 Jan,1192832
LAUMT371674000000006,2013,2/1/2013,M02,2013 Feb,1192304
LAUMT371674000000006,2013,3/1/2013,M03,2013 Mar,1192327
LAUMT371674000000006,2013,4/1/2013,M04,2013 Apr,1188187
LAUMT371674000000006,2013,5/1/2013,M05,2013 May,1196185
LAUMT371674000000006,2013,6/1/2013,M06,2013 Jun,1190883
LAUMT371674000000006,2013,7/1/2013,M07,2013 Jul,1192115
LAUMT371674000000006,2013,8/1/2013,M08,2013 Aug,1179414
LAUMT371674000000006,2013,9/1/2013,M09,2013 Sep,1177496
LAUMT371674000000006,2013,10/1/2013,M10,2013 Oct,1184015
LAUMT371674000000006,2013,11/1/2013,M11,2013 Nov,1186477
LAUMT371674000000006,2013,12/1/2013,M12,2013 Dec,1180845
LAUMT371674000000006,2014,1/1/2014,M01,2014 Jan,1187400
LAUMT371674000000006,2014,2/1/2014,M02,2014 Feb,1189143
LAUMT371674000000006,2014,3/1/2014,M03,2014 Mar,1203567
LAUMT371674000000006,2014,4/1/2014,M04,2014 Apr,1196840
LAUMT371674000000006,2014,5/1/2014,M05,2014 May,1208821
LAUMT371674000000006,2014,6/1/2014,M06,2014 Jun,1207299
LAUMT371674000000006,2014,7/1/2014,M07,2014 Jul,1213477
LAUMT371674000000006,2014,8/1/2014,M08,2014 Aug,1203370
LAUMT371674000000006,2014,9/1/2014,M09,2014 Sep,1205767
LAUMT371674000000006,2014,10/1/2014,M10,2014 Oct,1223666
LAUMT371674000000006,2014,11/1/2014,M11,2014 Nov,1214606
LAUMT371674000000006,2014,12/1/2014,M12,2014 Dec,1210774
LAUMT371674000000006,2015,1/1/2015,M01,2015 Jan,1216589
LAUMT371674000000006,2015,2/1/2015,M02,2015 Feb,1225253
LAUMT371674000000006,2015,3/1/2015,M03,2015 Mar,1226821
LAUMT371674000000006,2015,4/1/2015,M04,2015 Apr,1229623
LAUMT371674000000006,2015,5/1/2015,M05,2015 May,1248940
LAUMT371674000000006,2015,6/1/2015,M06,2015 Jun,1249313
LAUMT371674000000006,2015,7/1/2015,M07,2015 Jul,1250036
LAUMT371674000000006,2015,8/1/2015,M08,2015 Aug,1236954
LAUMT371674000000006,2015,9/1/2015,M09,2015 Sep,1236329
LAUMT371674000000006,2015,10/1/2015,M10,2015 Oct,1253138
LAUMT371674000000006,2015,11/1/2015,M11,2015 Nov,1249185
LAUMT371674000000006,2015,12/1/2015,M12,2015 Dec,1251993
LAUMT371674000000006,2016,1/1/2016,M01,2016 Jan,1252169
LAUMT371674000000006,2016,2/1/2016,M02,2016 Feb,1261199
LAUMT371674000000006,2016,3/1/2016,M03,2016 Mar,1269786
LAUMT371674000000006,2016,4/1/2016,M04,2016 Apr,1267248
LAUMT371674000000006,2016,5/1/2016,M05,2016 May,1272066
LAUMT371674000000006,2016,6/1/2016,M06,2016 Jun,1278466
LAUMT371674000000006,2016,7/1/2016,M07,2016 Jul,1282262
LAUMT371674000000006,2016,8/1/2016,M08,2016 Aug,1269597
LAUMT371674000000006,2016,9/1/2016,M09,2016 Sep,1280009
LAUMT371674000000006,2016,10/1/2016,M10,2016 Oct,1293082
LAUMT371674000000006,2016,11/1/2016,M11,2016 Nov,1284533
LAUMT371674000000006,2016,12/1/2016,M12,2016 Dec,1282086
LAUMT371674000000006,2017,1/1/2017,M01,2017 Jan,1285617
LAUMT371674000000006,2017,2/1/2017,M02,2017 Feb,1292519
LAUMT371674000000006,2017,3/1/2017,M03,2017 Mar,1300867
LAUMT371674000000006,2017,4/1/2017,M04,2017 Apr,1298554
LAUMT371674000000006,2017,5/1/2017,M05,2017 May,1308369
LAUMT371674000000006,2017,6/1/2017,M06,2017 Jun,1319434
LAUMT371674000000006,2017,7/1/2017,M07,2017 Jul,1322365
LAUMT371674000000006,2017,8/1/2017,M08,2017 Aug,1311475
LAUMT371674000000006,2017,9/1/2017,M09,2017 Sep,1323507
LAUMT371674000000006,2017,10/1/2017,M10,2017 Oct,1323100
LAUMT371674000000006,2017,11/1/2017,M11,2017 Nov,1316202
LAUMT371674000000006,2017,12/1/2017,M12,2017 Dec,1309136
LAUMT371674000000006,2018,1/1/2018,M01,2018 Jan,1307811
LAUMT371674000000006,2018,2/1/2018,M02,2018 Feb,1319282
LAUMT371674000000006,2018,3/1/2018,M03,2018 Mar,1326123
LAUMT371674000000006,2018,4/1/2018,M04,2018 Apr,1321346
LAUMT371674000000006,2018,5/1/2018,M05,2018 May,1330369
LAUMT371674000000006,2018,6/1/2018,M06,2018 Jun,1342935
LAUMT371674000000006,2018,7/1/2018,M07,2018 Jul,1347534
LAUMT371674000000006,2018,8/1/2018,M08,2018 Aug,1329357
LAUMT371674000000006,2018,9/1/2018,M09,2018 Sep,1339240
LAUMT371674000000006,2018,10/1/2018,M10,2018 Oct,1350955
LAUMT371674000000006,2018,11/1/2018,M11,2018 Nov,1343263
LAUMT371674000000006,2018,12/1/2018,M12,2018 Dec,1341815
LAUMT371674000000006,2019,1/1/2019,M01,2019 Jan,1346594
LAUMT371674000000006,2019,2/1/2019,M02,2019 Feb,1355596
LAUMT371674000000006,2019,3/1/2019,M03,2019 Mar,1363322
LAUMT371674000000006,2019,4/1/2019,M04,2019 Apr,1354380
LAUMT371674000000006,2019,5/1/2019,M05,2019 May,1361028
LAUMT371674000000006,2019,6/1/2019,M06,2019 Jun,1378805
LAUMT371674000000006,2019,7/1/2019,M07,2019 Jul,1383004
LAUMT371674000000006,2019,8/1/2019,M08,2019 Aug,1372760
LAUMT371674000000006,2019,9/1/2019,M09,2019 Sep,1373567
LAUMT371674000000006,2019,10/1/2019,M10,2019 Oct,1386549
LAUMT371674000000006,2019,11/1/2019,M11,2019 Nov,1379121
LAUMT371674000000006,2019,12/1/2019,M12,2019 Dec,1372428
LAUMT371674000000006,2020,1/1/2020,M01,2020 Jan,1374554
LAUMT371674000000006,2020,2/1/2020,M02,2020 Feb,1384308
LAUMT371674000000006,2020,3/1/2020,M03,2020 Mar,1333559
LAUMT371674000000006,2020,4/1/2020,M04,2020 Apr,1280696
LAUMT371674000000006,2020,5/1/2020,M05,2020 May,1325284
LAUMT371674000000006,2020,6/1/2020,M06,2020 Jun,1340829
LAUMT371674000000006,2020,7/1/2020,M07,2020 Jul,1372088
LAUMT371674000000006,2020,8/1/2020,M08,2020 Aug,1349628
LAUMT371674000000006,2020,9/1/2020,M09,2020 Sep,1367125
LAUMT371674000000006,2020,10/1/2020,M10,2020 Oct,1381117
LAUMT371674000000006,2020,11/1/2020,M11,2020 Nov,1371490
LAUMT371674000000006,2020,12/1/2020,M12,2020 Dec,1366797
LAUMT371674000000006,2021,1/1/2021,M01,2021 Jan,1355040
LAUMT371674000000006,2021,2/1/2021,M02,2021 Feb,1363926
LAUMT371674000000006,2021,3/1/2021,M03,2021 Mar,1363396
