Series ID,Year,Month,Period,Label,Value
LAUMT371674000000003,2010,1/1/2010,M01,2010 Jan,12.8
LAUMT371674000000003,2010,2/1/2010,M02,2010 Feb,12.8
LAUMT371674000000003,2010,3/1/2010,M03,2010 Mar,12.5
LAUMT371674000000003,2010,4/1/2010,M04,2010 Apr,11.7
LAUMT371674000000003,2010,5/1/2010,M05,2010 May,11.7
LAUMT371674000000003,2010,6/1/2010,M06,2010 Jun,11.7
LAUMT371674000000003,2010,7/1/2010,M07,2010 Jul,11.7
LAUMT371674000000003,2010,8/1/2010,M08,2010 Aug,11.4
LAUMT371674000000003,2010,9/1/2010,M09,2010 Sep,10.7
LAUMT371674000000003,2010,10/1/2010,M10,2010 Oct,10.6
LAUMT371674000000003,2010,11/1/2010,M11,2010 Nov,11.1
LAUMT371674000000003,2010,12/1/2010,M12,2010 Dec,11
LAUMT371674000000003,2011,1/1/2011,M01,2011 Jan,11.7
LAUMT371674000000003,2011,2/1/2011,M02,2011 Feb,11.2
LAUMT371674000000003,2011,3/1/2011,M03,2011 Mar,10.7
LAUMT371674000000003,2011,4/1/2011,M04,2011 Apr,10.3
LAUMT371674000000003,2011,5/1/2011,M05,2011 May,10.5
LAUMT371674000000003,2011,6/1/2011,M06,2011 Jun,11
LAUMT371674000000003,2011,7/1/2011,M07,2011 Jul,11
LAUMT371674000000003,2011,8/1/2011,M08,2011 Aug,10.8
LAUMT371674000000003,2011,9/1/2011,M09,2011 Sep,10.2
LAUMT371674000000003,2011,10/1/2011,M10,2011 Oct,10.1
LAUMT371674000000003,2011,11/1/2011,M11,2011 Nov,9.9
LAUMT371674000000003,2011,12/1/2011,M12,2011 Dec,9.8
LAUMT371674000000003,2012,1/1/2012,M01,2012 Jan,10.2
LAUMT371674000000003,2012,2/1/2012,M02,2012 Feb,9.9
LAUMT371674000000003,2012,3/1/2012,M03,2012 Mar,9.4
LAUMT371674000000003,2012,4/1/2012,M04,2012 Apr,8.9
LAUMT371674000000003,2012,5/1/2012,M05,2012 May,9.3
LAUMT371674000000003,2012,6/1/2012,M06,2012 Jun,9.7
LAUMT371674000000003,2012,7/1/2012,M07,2012 Jul,9.8
LAUMT371674000000003,2012,8/1/2012,M08,2012 Aug,9.6
LAUMT371674000000003,2012,9/1/2012,M09,2012 Sep,8.9
LAUMT371674000000003,2012,10/1/2012,M10,2012 Oct,9.2
LAUMT371674000000003,2012,11/1/2012,M11,2012 Nov,9
LAUMT371674000000003,2012,12/1/2012,M12,2012 Dec,9.1
LAUMT371674000000003,2013,1/1/2013,M01,2013 Jan,9.8
LAUMT371674000000003,2013,2/1/2013,M02,2013 Feb,9.1
LAUMT371674000000003,2013,3/1/2013,M03,2013 Mar,8.3
LAUMT371674000000003,2013,4/1/2013,M04,2013 Apr,7.7
LAUMT371674000000003,2013,5/1/2013,M05,2013 May,7.9
LAUMT371674000000003,2013,6/1/2013,M06,2013 Jun,8.1
LAUMT371674000000003,2013,7/1/2013,M07,2013 Jul,7.9
LAUMT371674000000003,2013,8/1/2013,M08,2013 Aug,7.4
LAUMT371674000000003,2013,9/1/2013,M09,2013 Sep,6.5
LAUMT371674000000003,2013,10/1/2013,M10,2013 Oct,6.4
LAUMT371674000000003,2013,11/1/2013,M11,2013 Nov,6.3
LAUMT371674000000003,2013,12/1/2013,M12,2013 Dec,6
LAUMT371674000000003,2014,1/1/2014,M01,2014 Jan,6.4
LAUMT371674000000003,2014,2/1/2014,M02,2014 Feb,6.4
LAUMT371674000000003,2014,3/1/2014,M03,2014 Mar,6.1
LAUMT371674000000003,2014,4/1/2014,M04,2014 Apr,5.5
LAUMT371674000000003,2014,5/1/2014,M05,2014 May,6
LAUMT371674000000003,2014,6/1/2014,M06,2014 Jun,6.2
LAUMT371674000000003,2014,7/1/2014,M07,2014 Jul,6.5
LAUMT371674000000003,2014,8/1/2014,M08,2014 Aug,6.5
LAUMT371674000000003,2014,9/1/2014,M09,2014 Sep,5.8
LAUMT371674000000003,2014,10/1/2014,M10,2014 Oct,5.7
LAUMT371674000000003,2014,11/1/2014,M11,2014 Nov,5.6
LAUMT371674000000003,2014,12/1/2014,M12,2014 Dec,5.3
LAUMT371674000000003,2015,1/1/2015,M01,2015 Jan,5.8
LAUMT371674000000003,2015,2/1/2015,M02,2015 Feb,5.6
LAUMT371674000000003,2015,3/1/2015,M03,2015 Mar,5.4
LAUMT371674000000003,2015,4/1/2015,M04,2015 Apr,5.1
LAUMT371674000000003,2015,5/1/2015,M05,2015 May,5.7
LAUMT371674000000003,2015,6/1/2015,M06,2015 Jun,5.7
LAUMT371674000000003,2015,7/1/2015,M07,2015 Jul,5.8
LAUMT371674000000003,2015,8/1/2015,M08,2015 Aug,5.6
LAUMT371674000000003,2015,9/1/2015,M09,2015 Sep,5.1
LAUMT371674000000003,2015,10/1/2015,M10,2015 Oct,5.1
LAUMT371674000000003,2015,11/1/2015,M11,2015 Nov,5.1
LAUMT371674000000003,2015,12/1/2015,M12,2015 Dec,4.9
LAUMT371674000000003,2016,1/1/2016,M01,2016 Jan,5.1
LAUMT371674000000003,2016,2/1/2016,M02,2016 Feb,4.9
LAUMT371674000000003,2016,3/1/2016,M03,2016 Mar,4.8
LAUMT371674000000003,2016,4/1/2016,M04,2016 Apr,4.5
LAUMT371674000000003,2016,5/1/2016,M05,2016 May,4.7
LAUMT371674000000003,2016,6/1/2016,M06,2016 Jun,5.1
LAUMT371674000000003,2016,7/1/2016,M07,2016 Jul,5.1
LAUMT371674000000003,2016,8/1/2016,M08,2016 Aug,5.1
LAUMT371674000000003,2016,9/1/2016,M09,2016 Sep,4.7
LAUMT371674000000003,2016,10/1/2016,M10,2016 Oct,4.7
LAUMT371674000000003,2016,11/1/2016,M11,2016 Nov,4.6
LAUMT371674000000003,2016,12/1/2016,M12,2016 Dec,4.5
LAUMT371674000000003,2017,1/1/2017,M01,2017 Jan,4.9
LAUMT371674000000003,2017,2/1/2017,M02,2017 Feb,4.6
LAUMT371674000000003,2017,3/1/2017,M03,2017 Mar,4.2
LAUMT371674000000003,2017,4/1/2017,M04,2017 Apr,4
LAUMT371674000000003,2017,5/1/2017,M05,2017 May,4.2
LAUMT371674000000003,2017,6/1/2017,M06,2017 Jun,4.4
LAUMT371674000000003,2017,7/1/2017,M07,2017 Jul,4.5
LAUMT371674000000003,2017,8/1/2017,M08,2017 Aug,4.6
LAUMT371674000000003,2017,9/1/2017,M09,2017 Sep,4
LAUMT371674000000003,2017,10/1/2017,M10,2017 Oct,4
LAUMT371674000000003,2017,11/1/2017,M11,2017 Nov,4.1
LAUMT371674000000003,2017,12/1/2017,M12,2017 Dec,3.9
LAUMT371674000000003,2018,1/1/2018,M01,2018 Jan,4.2
LAUMT371674000000003,2018,2/1/2018,M02,2018 Feb,4.1
LAUMT371674000000003,2018,3/1/2018,M03,2018 Mar,3.8
LAUMT371674000000003,2018,4/1/2018,M04,2018 Apr,3.4
LAUMT371674000000003,2018,5/1/2018,M05,2018 May,3.6
LAUMT371674000000003,2018,6/1/2018,M06,2018 Jun,4
LAUMT371674000000003,2018,7/1/2018,M07,2018 Jul,4
LAUMT371674000000003,2018,8/1/2018,M08,2018 Aug,3.9
LAUMT371674000000003,2018,9/1/2018,M09,2018 Sep,3.4
LAUMT371674000000003,2018,10/1/2018,M10,2018 Oct,3.5
LAUMT371674000000003,2018,11/1/2018,M11,2018 Nov,3.5
LAUMT371674000000003,2018,12/1/2018,M12,2018 Dec,3.6
LAUMT371674000000003,2019,1/1/2019,M01,2019 Jan,4
LAUMT371674000000003,2019,2/1/2019,M02,2019 Feb,3.7
LAUMT371674000000003,2019,3/1/2019,M03,2019 Mar,3.6
LAUMT371674000000003,2019,4/1/2019,M04,2019 Apr,3.2
LAUMT371674000000003,2019,5/1/2019,M05,2019 May,3.5
LAUMT371674000000003,2019,6/1/2019,M06,2019 Jun,3.7
LAUMT371674000000003,2019,7/1/2019,M07,2019 Jul,3.8
LAUMT371674000000003,2019,8/1/2019,M08,2019 Aug,3.7
LAUMT371674000000003,2019,9/1/2019,M09,2019 Sep,3.1
LAUMT371674000000003,2019,10/1/2019,M10,2019 Oct,3.2
LAUMT371674000000003,2019,11/1/2019,M11,2019 Nov,3.2
LAUMT371674000000003,2019,12/1/2019,M12,2019 Dec,3
LAUMT371674000000003,2020,1/1/2020,M01,2020 Jan,3.4
LAUMT371674000000003,2020,2/1/2020,M02,2020 Feb,3.2
LAUMT371674000000003,2020,3/1/2020,M03,2020 Mar,3.7
LAUMT371674000000003,2020,4/1/2020,M04,2020 Apr,13
LAUMT371674000000003,2020,5/1/2020,M05,2020 May,13.9
LAUMT371674000000003,2020,6/1/2020,M06,2020 Jun,9.1
LAUMT371674000000003,2020,7/1/2020,M07,2020 Jul,9.4
LAUMT371674000000003,2020,8/1/2020,M08,2020 Aug,7
LAUMT371674000000003,2020,9/1/2020,M09,2020 Sep,7.1
LAUMT371674000000003,2020,10/1/2020,M10,2020 Oct,6.4
LAUMT371674000000003,2020,11/1/2020,M11,2020 Nov,6.2
LAUMT371674000000003,2020,12/1/2020,M12,2020 Dec,6
LAUMT371674000000003,2021,1/1/2021,M01,2021 Jan,5.8
LAUMT371674000000003,2021,2/1/2021,M02,2021 Feb,5.4
LAUMT371674000000003,2021,3/1/2021,M03,2021 Mar,4.6
