Series ID,Year,Month,Period,Label,Value,,,,,,,,
LAUMT473498000000006,2010,1/1/2010,M01,2010 Jan,855369,,,,,,,,
LAUMT473498000000006,2010,2/1/2010,M02,2010 Feb,857834,,,,,,,,
LAUMT473498000000006,2010,3/1/2010,M03,2010 Mar,863974,,,,,,,,
LAUMT473498000000006,2010,4/1/2010,M04,2010 Apr,876458,,,,,,,,
LAUMT473498000000006,2010,5/1/2010,M05,2010 May,880555,,,,,,,,
LAUMT473498000000006,2010,6/1/2010,M06,2010 Jun,887901,,,,,,,,
LAUMT473498000000006,2010,7/1/2010,M07,2010 Jul,888009,,,,,,,,
LAUMT473498000000006,2010,8/1/2010,M08,2010 Aug,884095,,,,,,,,
LAUMT473498000000006,2010,9/1/2010,M09,2010 Sep,885992,,,,,,,,
LAUMT473498000000006,2010,10/1/2010,M10,2010 Oct,888929,,,,,,,,
LAUMT473498000000006,2010,11/1/2010,M11,2010 Nov,888624,,,,,,,,
LAUMT473498000000006,2010,12/1/2010,M12,2010 Dec,887293,,,,,,,,
LAUMT473498000000006,2011,1/1/2011,M01,2011 Jan,880593,,,,,,,,
LAUMT473498000000006,2011,2/1/2011,M02,2011 Feb,885430,,,,,,,,
LAUMT473498000000006,2011,3/1/2011,M03,2011 Mar,890548,,,,,,,,
LAUMT473498000000006,2011,4/1/2011,M04,2011 Apr,893918,,,,,,,,
LAUMT473498000000006,2011,5/1/2011,M05,2011 May,895200,,,,,,,,
LAUMT473498000000006,2011,6/1/2011,M06,2011 Jun,901298,,,,,,,,
LAUMT473498000000006,2011,7/1/2011,M07,2011 Jul,902803,,,,,,,,
LAUMT473498000000006,2011,8/1/2011,M08,2011 Aug,896459,,,,,,,,
LAUMT473498000000006,2011,9/1/2011,M09,2011 Sep,894407,,,,,,,,
LAUMT473498000000006,2011,10/1/2011,M10,2011 Oct,897592,,,,,,,,
LAUMT473498000000006,2011,11/1/2011,M11,2011 Nov,896363,,,,,,,,
LAUMT473498000000006,2011,12/1/2011,M12,2011 Dec,895552,,,,,,,,
LAUMT473498000000006,2012,1/1/2012,M01,2012 Jan,885274,,,,,,,,
LAUMT473498000000006,2012,2/1/2012,M02,2012 Feb,889687,,,,,,,,
LAUMT473498000000006,2012,3/1/2012,M03,2012 Mar,894067,,,,,,,,
LAUMT473498000000006,2012,4/1/2012,M04,2012 Apr,893348,,,,,,,,
LAUMT473498000000006,2012,5/1/2012,M05,2012 May,897329,,,,,,,,
LAUMT473498000000006,2012,6/1/2012,M06,2012 Jun,909071,,,,,,,,
LAUMT473498000000006,2012,7/1/2012,M07,2012 Jul,906738,,,,,,,,
LAUMT473498000000006,2012,8/1/2012,M08,2012 Aug,896797,,,,,,,,
LAUMT473498000000006,2012,9/1/2012,M09,2012 Sep,898352,,,,,,,,
LAUMT473498000000006,2012,10/1/2012,M10,2012 Oct,908028,,,,,,,,
LAUMT473498000000006,2012,11/1/2012,M11,2012 Nov,908106,,,,,,,,
LAUMT473498000000006,2012,12/1/2012,M12,2012 Dec,910133,,,,,,,,
LAUMT473498000000006,2013,1/1/2013,M01,2013 Jan,900407,,,,,,,,
LAUMT473498000000006,2013,2/1/2013,M02,2013 Feb,904199,,,,,,,,
LAUMT473498000000006,2013,3/1/2013,M03,2013 Mar,902920,,,,,,,,
LAUMT473498000000006,2013,4/1/2013,M04,2013 Apr,909720,,,,,,,,
LAUMT473498000000006,2013,5/1/2013,M05,2013 May,912001,,,,,,,,
LAUMT473498000000006,2013,6/1/2013,M06,2013 Jun,922298,,,,,,,,
LAUMT473498000000006,2013,7/1/2013,M07,2013 Jul,921864,,,,,,,,
LAUMT473498000000006,2013,8/1/2013,M08,2013 Aug,907444,,,,,,,,
LAUMT473498000000006,2013,9/1/2013,M09,2013 Sep,906402,,,,,,,,
LAUMT473498000000006,2013,10/1/2013,M10,2013 Oct,907301,,,,,,,,
LAUMT473498000000006,2013,11/1/2013,M11,2013 Nov,910791,,,,,,,,
LAUMT473498000000006,2013,12/1/2013,M12,2013 Dec,905460,,,,,,,,
LAUMT473498000000006,2014,1/1/2014,M01,2014 Jan,900575,,,,,,,,
LAUMT473498000000006,2014,2/1/2014,M02,2014 Feb,905400,,,,,,,,
LAUMT473498000000006,2014,3/1/2014,M03,2014 Mar,908060,,,,,,,,
LAUMT473498000000006,2014,4/1/2014,M04,2014 Apr,908208,,,,,,,,
LAUMT473498000000006,2014,5/1/2014,M05,2014 May,914817,,,,,,,,
LAUMT473498000000006,2014,6/1/2014,M06,2014 Jun,924151,,,,,,,,
LAUMT473498000000006,2014,7/1/2014,M07,2014 Jul,926786,,,,,,,,
LAUMT473498000000006,2014,8/1/2014,M08,2014 Aug,914192,,,,,,,,
LAUMT473498000000006,2014,9/1/2014,M09,2014 Sep,916236,,,,,,,,
LAUMT473498000000006,2014,10/1/2014,M10,2014 Oct,928188,,,,,,,,
LAUMT473498000000006,2014,11/1/2014,M11,2014 Nov,927502,,,,,,,,
LAUMT473498000000006,2014,12/1/2014,M12,2014 Dec,925142,,,,,,,,
LAUMT473498000000006,2015,1/1/2015,M01,2015 Jan,923640,,,,,,,,
LAUMT473498000000006,2015,2/1/2015,M02,2015 Feb,926030,,,,,,,,
LAUMT473498000000006,2015,3/1/2015,M03,2015 Mar,926495,,,,,,,,
LAUMT473498000000006,2015,4/1/2015,M04,2015 Apr,935204,,,,,,,,
LAUMT473498000000006,2015,5/1/2015,M05,2015 May,942736,,,,,,,,
LAUMT473498000000006,2015,6/1/2015,M06,2015 Jun,953982,,,,,,,,
LAUMT473498000000006,2015,7/1/2015,M07,2015 Jul,953114,,,,,,,,
LAUMT473498000000006,2015,8/1/2015,M08,2015 Aug,938405,,,,,,,,
LAUMT473498000000006,2015,9/1/2015,M09,2015 Sep,938662,,,,,,,,
LAUMT473498000000006,2015,10/1/2015,M10,2015 Oct,951363,,,,,,,,
LAUMT473498000000006,2015,11/1/2015,M11,2015 Nov,950073,,,,,,,,
LAUMT473498000000006,2015,12/1/2015,M12,2015 Dec,952470,,,,,,,,
LAUMT473498000000006,2016,1/1/2016,M01,2016 Jan,951690,,,,,,,,
LAUMT473498000000006,2016,2/1/2016,M02,2016 Feb,958766,,,,,,,,
LAUMT473498000000006,2016,3/1/2016,M03,2016 Mar,962573,,,,,,,,
LAUMT473498000000006,2016,4/1/2016,M04,2016 Apr,966585,,,,,,,,
LAUMT473498000000006,2016,5/1/2016,M05,2016 May,966265,,,,,,,,
LAUMT473498000000006,2016,6/1/2016,M06,2016 Jun,983694,,,,,,,,
LAUMT473498000000006,2016,7/1/2016,M07,2016 Jul,988354,,,,,,,,
LAUMT473498000000006,2016,8/1/2016,M08,2016 Aug,977739,,,,,,,,
LAUMT473498000000006,2016,9/1/2016,M09,2016 Sep,983903,,,,,,,,
LAUMT473498000000006,2016,10/1/2016,M10,2016 Oct,987522,,,,,,,,
LAUMT473498000000006,2016,11/1/2016,M11,2016 Nov,988095,,,,,,,,
LAUMT473498000000006,2016,12/1/2016,M12,2016 Dec,984860,,,,,,,,
LAUMT473498000000006,2017,1/1/2017,M01,2017 Jan,984563,,,,,,,,
LAUMT473498000000006,2017,2/1/2017,M02,2017 Feb,993609,,,,,,,,
LAUMT473498000000006,2017,3/1/2017,M03,2017 Mar,997986,,,,,,,,
LAUMT473498000000006,2017,4/1/2017,M04,2017 Apr,1000713,,,,,,,,
LAUMT473498000000006,2017,5/1/2017,M05,2017 May,1001659,,,,,,,,
LAUMT473498000000006,2017,6/1/2017,M06,2017 Jun,1018542,,,,,,,,
LAUMT473498000000006,2017,7/1/2017,M07,2017 Jul,1024480,,,,,,,,
LAUMT473498000000006,2017,8/1/2017,M08,2017 Aug,1013923,,,,,,,,
LAUMT473498000000006,2017,9/1/2017,M09,2017 Sep,1021007,,,,,,,,
LAUMT473498000000006,2017,10/1/2017,M10,2017 Oct,1021636,,,,,,,,
LAUMT473498000000006,2017,11/1/2017,M11,2017 Nov,1024311,,,,,,,,
LAUMT473498000000006,2017,12/1/2017,M12,2017 Dec,1022530,,,,,,,,
LAUMT473498000000006,2018,1/1/2018,M01,2018 Jan,1020914,,,,,,,,
LAUMT473498000000006,2018,2/1/2018,M02,2018 Feb,1032855,,,,,,,,
LAUMT473498000000006,2018,3/1/2018,M03,2018 Mar,1037192,,,,,,,,
LAUMT473498000000006,2018,4/1/2018,M04,2018 Apr,1037565,,,,,,,,
LAUMT473498000000006,2018,5/1/2018,M05,2018 May,1037907,,,,,,,,
LAUMT473498000000006,2018,6/1/2018,M06,2018 Jun,1058413,,,,,,,,
LAUMT473498000000006,2018,7/1/2018,M07,2018 Jul,1061019,,,,,,,,
LAUMT473498000000006,2018,8/1/2018,M08,2018 Aug,1047241,,,,,,,,
LAUMT473498000000006,2018,9/1/2018,M09,2018 Sep,1050806,,,,,,,,
LAUMT473498000000006,2018,10/1/2018,M10,2018 Oct,1060583,,,,,,,,
LAUMT473498000000006,2018,11/1/2018,M11,2018 Nov,1064768,,,,,,,,
LAUMT473498000000006,2018,12/1/2018,M12,2018 Dec,1063822,,,,,,,,
LAUMT473498000000006,2019,1/1/2019,M01,2019 Jan,1064607,,,,,,,,
LAUMT473498000000006,2019,2/1/2019,M02,2019 Feb,1074225,,,,,,,,
LAUMT473498000000006,2019,3/1/2019,M03,2019 Mar,1079699,,,,,,,,
LAUMT473498000000006,2019,4/1/2019,M04,2019 Apr,1077955,,,,,,,,
LAUMT473498000000006,2019,5/1/2019,M05,2019 May,1082165,,,,,,,,
LAUMT473498000000006,2019,6/1/2019,M06,2019 Jun,1095829,,,,,,,,
LAUMT473498000000006,2019,7/1/2019,M07,2019 Jul,1099150,,,,,,,,
LAUMT473498000000006,2019,8/1/2019,M08,2019 Aug,1086380,,,,,,,,
LAUMT473498000000006,2019,9/1/2019,M09,2019 Sep,1088108,,,,,,,,
LAUMT473498000000006,2019,10/1/2019,M10,2019 Oct,1089760,,,,,,,,
LAUMT473498000000006,2019,11/1/2019,M11,2019 Nov,1094358,,,,,,,,
LAUMT473498000000006,2019,12/1/2019,M12,2019 Dec,1095556,,,,,,,,
LAUMT473498000000006,2020,1/1/2020,M01,2020 Jan,1091003,,,,,,,,
LAUMT473498000000006,2020,2/1/2020,M02,2020 Feb,1093819,,,,,,,,
LAUMT473498000000006,2020,3/1/2020,M03,2020 Mar,1080770,,,,,,,,
LAUMT473498000000006,2020,4/1/2020,M04,2020 Apr,1026695,,,,,,,,
LAUMT473498000000006,2020,5/1/2020,M05,2020 May,1022118,,,,,,,,
LAUMT473498000000006,2020,6/1/2020,M06,2020 Jun,1037084,,,,,,,,
LAUMT473498000000006,2020,7/1/2020,M07,2020 Jul,1037299,,,,,,,,
