Series ID,Year,Month,Period,Label,Value
LAUCA474000000000004,2010,1/1/2010,M01,2010 Jan,91689
LAUCA474000000000004,2010,2/1/2010,M02,2010 Feb,89214
LAUCA474000000000004,2010,3/1/2010,M03,2010 Mar,88440
LAUCA474000000000004,2010,4/1/2010,M04,2010 Apr,82979
LAUCA474000000000004,2010,5/1/2010,M05,2010 May,81833
LAUCA474000000000004,2010,6/1/2010,M06,2010 Jun,85996
LAUCA474000000000004,2010,7/1/2010,M07,2010 Jul,85105
LAUCA474000000000004,2010,8/1/2010,M08,2010 Aug,84396
LAUCA474000000000004,2010,9/1/2010,M09,2010 Sep,81555
LAUCA474000000000004,2010,10/1/2010,M10,2010 Oct,80206
LAUCA474000000000004,2010,11/1/2010,M11,2010 Nov,81421
LAUCA474000000000004,2010,12/1/2010,M12,2010 Dec,79874
LAUCA474000000000004,2011,1/1/2011,M01,2011 Jan,85035
LAUCA474000000000004,2011,2/1/2011,M02,2011 Feb,82697
LAUCA474000000000004,2011,3/1/2011,M03,2011 Mar,81002
LAUCA474000000000004,2011,4/1/2011,M04,2011 Apr,76898
LAUCA474000000000004,2011,5/1/2011,M05,2011 May,76412
LAUCA474000000000004,2011,6/1/2011,M06,2011 Jun,83623
LAUCA474000000000004,2011,7/1/2011,M07,2011 Jul,79886
LAUCA474000000000004,2011,8/1/2011,M08,2011 Aug,77851
LAUCA474000000000004,2011,9/1/2011,M09,2011 Sep,75520
LAUCA474000000000004,2011,10/1/2011,M10,2011 Oct,71236
LAUCA474000000000004,2011,11/1/2011,M11,2011 Nov,67229
LAUCA474000000000004,2011,12/1/2011,M12,2011 Dec,66006
LAUCA474000000000004,2012,1/1/2012,M01,2012 Jan,68940
LAUCA474000000000004,2012,2/1/2012,M02,2012 Feb,68032
LAUCA474000000000004,2012,3/1/2012,M03,2012 Mar,65157
LAUCA474000000000004,2012,4/1/2012,M04,2012 Apr,61094
LAUCA474000000000004,2012,5/1/2012,M05,2012 May,63175
LAUCA474000000000004,2012,6/1/2012,M06,2012 Jun,70255
LAUCA474000000000004,2012,7/1/2012,M07,2012 Jul,69241
LAUCA474000000000004,2012,8/1/2012,M08,2012 Aug,65405
LAUCA474000000000004,2012,9/1/2012,M09,2012 Sep,60358
LAUCA474000000000004,2012,10/1/2012,M10,2012 Oct,60384
LAUCA474000000000004,2012,11/1/2012,M11,2012 Nov,57478
LAUCA474000000000004,2012,12/1/2012,M12,2012 Dec,60274
LAUCA474000000000004,2013,1/1/2013,M01,2013 Jan,66978
LAUCA474000000000004,2013,2/1/2013,M02,2013 Feb,63810
LAUCA474000000000004,2013,3/1/2013,M03,2013 Mar,60853
LAUCA474000000000004,2013,4/1/2013,M04,2013 Apr,59140
LAUCA474000000000004,2013,5/1/2013,M05,2013 May,60926
LAUCA474000000000004,2013,6/1/2013,M06,2013 Jun,68144
LAUCA474000000000004,2013,7/1/2013,M07,2013 Jul,66111
LAUCA474000000000004,2013,8/1/2013,M08,2013 Aug,61757
LAUCA474000000000004,2013,9/1/2013,M09,2013 Sep,59128
LAUCA474000000000004,2013,10/1/2013,M10,2013 Oct,58459
LAUCA474000000000004,2013,11/1/2013,M11,2013 Nov,52646
LAUCA474000000000004,2013,12/1/2013,M12,2013 Dec,50575
LAUCA474000000000004,2014,1/1/2014,M01,2014 Jan,51785
LAUCA474000000000004,2014,2/1/2014,M02,2014 Feb,53225
LAUCA474000000000004,2014,3/1/2014,M03,2014 Mar,52581
LAUCA474000000000004,2014,4/1/2014,M04,2014 Apr,46410
LAUCA474000000000004,2014,5/1/2014,M05,2014 May,50416
LAUCA474000000000004,2014,6/1/2014,M06,2014 Jun,57298
LAUCA474000000000004,2014,7/1/2014,M07,2014 Jul,59873
LAUCA474000000000004,2014,8/1/2014,M08,2014 Aug,55041
LAUCA474000000000004,2014,9/1/2014,M09,2014 Sep,50779
LAUCA474000000000004,2014,10/1/2014,M10,2014 Oct,49211
LAUCA474000000000004,2014,11/1/2014,M11,2014 Nov,48515
LAUCA474000000000004,2014,12/1/2014,M12,2014 Dec,45747
LAUCA474000000000004,2015,1/1/2015,M01,2015 Jan,51792
LAUCA474000000000004,2015,2/1/2015,M02,2015 Feb,48557
LAUCA474000000000004,2015,3/1/2015,M03,2015 Mar,46214
LAUCA474000000000004,2015,4/1/2015,M04,2015 Apr,43323
LAUCA474000000000004,2015,5/1/2015,M05,2015 May,46468
LAUCA474000000000004,2015,6/1/2015,M06,2015 Jun,52009
LAUCA474000000000004,2015,7/1/2015,M07,2015 Jul,49975
LAUCA474000000000004,2015,8/1/2015,M08,2015 Aug,44718
LAUCA474000000000004,2015,9/1/2015,M09,2015 Sep,43076
LAUCA474000000000004,2015,10/1/2015,M10,2015 Oct,41669
LAUCA474000000000004,2015,11/1/2015,M11,2015 Nov,40289
LAUCA474000000000004,2015,12/1/2015,M12,2015 Dec,37739
LAUCA474000000000004,2016,1/1/2016,M01,2016 Jan,38896
LAUCA474000000000004,2016,2/1/2016,M02,2016 Feb,38266
LAUCA474000000000004,2016,3/1/2016,M03,2016 Mar,38114
LAUCA474000000000004,2016,4/1/2016,M04,2016 Apr,35678
LAUCA474000000000004,2016,5/1/2016,M05,2016 May,34903
LAUCA474000000000004,2016,6/1/2016,M06,2016 Jun,44779
LAUCA474000000000004,2016,7/1/2016,M07,2016 Jul,44007
LAUCA474000000000004,2016,8/1/2016,M08,2016 Aug,42009
LAUCA474000000000004,2016,9/1/2016,M09,2016 Sep,41846
LAUCA474000000000004,2016,10/1/2016,M10,2016 Oct,39803
LAUCA474000000000004,2016,11/1/2016,M11,2016 Nov,37666
LAUCA474000000000004,2016,12/1/2016,M12,2016 Dec,36831
LAUCA474000000000004,2017,1/1/2017,M01,2017 Jan,40394
