DATE,ATLA013BP1FH
1988-01-01,1550
1988-02-01,2783
1988-03-01,3393
1988-04-01,2660
1988-05-01,2633
1988-06-01,2741
1988-07-01,2361
1988-08-01,2727
1988-09-01,2052
1988-10-01,1955
1988-11-01,1853
1988-12-01,1907
1989-01-01,1990
1989-02-01,1882
1989-03-01,2370
1989-04-01,1973
1989-05-01,1880
1989-06-01,1694
1989-07-01,1564
1989-08-01,2166
1989-09-01,1771
1989-10-01,1793
1989-11-01,1580
1989-12-01,1181
1990-01-01,1699
1990-02-01,1585
1990-03-01,2620
1990-04-01,1990
1990-05-01,1754
1990-06-01,1745
1990-07-01,1562
1990-08-01,1780
1990-09-01,1634
1990-10-01,1467
1990-11-01,1248
1990-12-01,1249
1991-01-01,1169
1991-02-01,2081
1991-03-01,1907
1991-04-01,2000
1991-05-01,1909
1991-06-01,1710
1991-07-01,1982
1991-08-01,1879
1991-09-01,1868
1991-10-01,1968
1991-11-01,1499
1991-12-01,1603
1992-01-01,2028
1992-02-01,2253
1992-03-01,2660
1992-04-01,2463
1992-05-01,2273
1992-06-01,2324
1992-07-01,2393
1992-08-01,2168
1992-09-01,2376
1992-10-01,2466
1992-11-01,1782
1992-12-01,2057
1993-01-01,2158
1993-02-01,2437
1993-03-01,2595
1993-04-01,2781
1993-05-01,2547
1993-06-01,2677
1993-07-01,2840
1993-08-01,3019
1993-09-01,2887
1993-10-01,2686
1993-11-01,2502
1993-12-01,2886
1994-01-01,2191
1994-02-01,2666
1994-03-01,3649
1994-04-01,3012
1994-05-01,3020
1994-06-01,2875
1994-07-01,2173
1994-08-01,2957
1994-09-01,2853
1994-10-01,2792
1994-11-01,2345
1994-12-01,2332
1995-01-01,2517
1995-02-01,2509
1995-03-01,3344
1995-04-01,2795
1995-05-01,2991
1995-06-01,3160
1995-07-01,2959
1995-08-01,3584
1995-09-01,2956
1995-10-01,2896
1995-11-01,2611
1995-12-01,2542
1996-01-01,2883
1996-02-01,3231
1996-03-01,3566
1996-04-01,3811
1996-05-01,3603
1996-06-01,2826
1996-07-01,3258
1996-08-01,3055
1996-09-01,2874
1996-10-01,3016
1996-11-01,2643
1996-12-01,2422
1997-01-01,2750
1997-02-01,2900
1997-03-01,3467
1997-04-01,3568
1997-05-01,3097
1997-06-01,3308
1997-07-01,3423
1997-08-01,3369
1997-09-01,3309
1997-10-01,3688
1997-11-01,2613
1997-12-01,2881
1998-01-01,3095
1998-02-01,3544
1998-03-01,4248
1998-04-01,4018
1998-05-01,3635
1998-06-01,3948
1998-07-01,3782
1998-08-01,4109
1998-09-01,4017
1998-10-01,3844
1998-11-01,3341
1998-12-01,4263
1999-01-01,3542
1999-02-01,4014
1999-03-01,4541
1999-04-01,4344
1999-05-01,3952
1999-06-01,4255
1999-07-01,4004
1999-08-01,4492
1999-09-01,3634
1999-10-01,3493
1999-11-01,3644
1999-12-01,3684
2000-01-01,3447
2000-02-01,3852
2000-03-01,5012
2000-04-01,4108
2000-05-01,4622
2000-06-01,3990
2000-07-01,3749
2000-08-01,4190
2000-09-01,3624
2000-10-01,3831
2000-11-01,3512
2000-12-01,2985
2001-01-01,3849
2001-02-01,4162
2001-03-01,4608
2001-04-01,4502
2001-05-01,4652
2001-06-01,4776
2001-07-01,3904
2001-08-01,4285
2001-09-01,3373
2001-10-01,3572
2001-11-01,3319
2001-12-01,3094
2002-01-01,3618
2002-02-01,4192
2002-03-01,4441
2002-04-01,4807
2002-05-01,4887
2002-06-01,4110
2002-07-01,4479
2002-08-01,4424
2002-09-01,4001
2002-10-01,3704
2002-11-01,3244
2002-12-01,3424
2003-01-01,3873
2003-02-01,4139
2003-03-01,4038
2003-04-01,4655
2003-05-01,4622
2003-06-01,4449
2003-07-01,4741
2003-08-01,4766
2003-09-01,4823
2003-10-01,4695
2003-11-01,3473
2003-12-01,4866
2004-01-01,4317
2004-02-01,4403
2004-03-01,5828
2004-04-01,5041
2004-05-01,5076
2004-06-01,5237
2004-07-01,4759
2004-08-01,5495
2004-09-01,4833
2004-10-01,4359
2004-11-01,3763
2004-12-01,4272
2005-01-01,4597
2005-02-01,4138
2005-03-01,5812
2005-04-01,4834
2005-05-01,5163
2005-06-01,5354
2005-07-01,4856
2005-08-01,6277
2005-09-01,4970
2005-10-01,5124
2005-11-01,4436
2005-12-01,4653
2006-01-01,4526
2006-02-01,4614
2006-03-01,5663
2006-04-01,4841
2006-05-01,5315
2006-06-01,5637
2006-07-01,4787
2006-08-01,5144
2006-09-01,3533
2006-10-01,4104
2006-11-01,3234
2006-12-01,3008
2007-01-01,3040
2007-02-01,3108
2007-03-01,3877
2007-04-01,3252
2007-05-01,3103
2007-06-01,3021
2007-07-01,2495
2007-08-01,2736
2007-09-01,1936
2007-10-01,1749
2007-11-01,1559
2007-12-01,1153
2008-01-01,1421
2008-02-01,1693
2008-03-01,1555
2008-04-01,1703
2008-05-01,1466
2008-06-01,1192
2008-07-01,873
2008-08-01,881
2008-09-01,1144
2008-10-01,643
2008-11-01,363
2008-12-01,384
2009-01-01,347
2009-02-01,403
2009-03-01,474
2009-04-01,477
2009-05-01,414
2009-06-01,457
2009-07-01,499
2009-08-01,539
2009-09-01,514
2009-10-01,439
2009-11-01,463
2009-12-01,428
2010-01-01,576
2010-02-01,583
2010-03-01,743
2010-04-01,698
2010-05-01,481
2010-06-01,591
2010-07-01,511
2010-08-01,499
2010-09-01,452
2010-10-01,405
2010-11-01,421
2010-12-01,457
2011-01-01,452
2011-02-01,523
2011-03-01,564
2011-04-01,487
2011-05-01,591
2011-06-01,663
2011-07-01,470
2011-08-01,598
2011-09-01,484
2011-10-01,456
2011-11-01,510
2011-12-01,493
2012-01-01,556
2012-02-01,643
2012-03-01,790
2012-04-01,739
2012-05-01,866
2012-06-01,853
2012-07-01,710
2012-08-01,958
2012-09-01,737
2012-10-01,1033
2012-11-01,699
2012-12-01,733
2013-01-01,897
2013-02-01,1142
2013-03-01,1185
2013-04-01,1418
2013-05-01,1550
2013-06-01,1344
2013-07-01,1349
2013-08-01,1320
2013-09-01,1234
2013-10-01,1293
2013-11-01,1047
2013-12-01,1010
2014-01-01,1033
2014-02-01,1119
2014-03-01,1477
2014-04-01,1413
2014-05-01,1519
2014-06-01,1592
2014-07-01,1653
2014-08-01,1620
2014-09-01,1349
2014-10-01,1470
2014-11-01,1204
2014-12-01,1336
2015-01-01,1269
2015-02-01,1515
2015-03-01,1742
2015-04-01,1839
2015-05-01,1681
2015-06-01,1908
2015-07-01,1939
2015-08-01,1741
2015-09-01,1578
2015-10-01,1694
2015-11-01,1384
2015-12-01,1370
2016-01-01,1517
2016-02-01,1852
2016-03-01,2225
2016-04-01,2148
2016-05-01,2065
2016-06-01,2141
2016-07-01,1842
2016-08-01,2167
2016-09-01,1830
2016-10-01,1840
2016-11-01,1629
2016-12-01,1460
2017-01-01,1727
2017-02-01,1936
2017-03-01,2343
2017-04-01,2036
2017-05-01,2460
2017-06-01,2504
2017-07-01,2022
2017-08-01,2204
2017-09-01,1960
2017-10-01,1988
2017-11-01,1785
2017-12-01,1543
2018-01-01,2027
2018-02-01,2121
2018-03-01,2393
2018-04-01,2389.0
2018-05-01,2444.0
2018-06-01,2444.0
2018-07-01,2215.0
2018-08-01,2326.0
2018-09-01,1967.0
2018-10-01,2062.0
2018-11-01,1803.0
2018-12-01,1459.0
2019-01-01,2014.0
2019-02-01,2069.0
2019-03-01,2389.0
2019-04-01,2195.0
2019-05-01,2412.0
2019-06-01,2236.0
2019-07-01,2197.0
2019-08-01,2283.0
2019-09-01,1968.0
2019-10-01,2242.0
2019-11-01,1711.0
2019-12-01,2188.0
2020-01-01,1959.0
2020-02-01,2107.0
2020-03-01,2100.0
2020-04-01,1722.0
2020-05-01,1628.0
2020-06-01,2085.0
2020-07-01,2521.0
2020-08-01,2563.0
2020-09-01,2810.0
2020-10-01,2928.0
2020-11-01,2540.0
2020-12-01,2559.0
2021-01-01,2622.0
2021-02-01,2819.0
2021-03-01,3466.0
